Angle,Cp
1.417500e+02,-2.553755e-01
1.421385e+02,-2.553155e-01
1.428750e+02,-2.551022e-01
1.436115e+02,-2.547645e-01
1.440000e+02,-2.545595e-01
4.725000e+01,8.082648e-01
4.686146e+01,8.390298e-01
4.612500e+01,8.543950e-01
4.538854e+01,8.737615e-01
4.500000e+01,8.597049e-01
6.525000e+01,3.846991e-01
6.563854e+01,4.160441e-01
6.637500e+01,3.818289e-01
6.711146e+01,3.468469e-01
6.750000e+01,2.986697e-01
2.475000e+01,1.407629e+00
2.436146e+01,1.455522e+00
2.362500e+01,1.444665e+00
2.288854e+01,1.438248e+00
2.250000e+01,1.432686e+00
6.788854e+01,2.725296e-01
6.862500e+01,2.754438e-01
6.936146e+01,2.661930e-01
6.975000e+01,2.368567e-01
2.211146e+01,1.444162e+00
2.137500e+01,1.443512e+00
2.063854e+01,1.491312e+00
2.025000e+01,1.501747e+00
1.575000e+02,-2.575910e-01
1.578885e+02,-2.576124e-01
1.586250e+02,-2.576777e-01
1.593615e+02,-2.577790e-01
1.597500e+02,-2.578453e-01
9.900000e+01,-1.723396e-01
9.861146e+01,-1.674430e-01
9.787500e+01,-1.579596e-01
9.713854e+01,-1.570543e-01
9.675000e+01,-1.620368e-01
1.777500e+02,-2.247511e-01
1.781385e+02,-2.233322e-01
1.788750e+02,-2.213176e-01
1.796115e+02,-2.202824e-01
1.800000e+02,-2.201580e-01
8.775000e+01,-5.414635e-02
8.813854e+01,-6.006887e-02
8.887500e+01,-6.932783e-02
8.961146e+01,-7.817599e-02
9.000000e+01,-8.224499e-02
1.192500e+02,-2.717607e-01
1.196385e+02,-2.686827e-01
1.203750e+02,-2.640974e-01
1.211115e+02,-2.611450e-01
1.215000e+02,-2.599305e-01
1.800000e+01,1.489625e+00
1.838854e+01,1.520265e+00
1.912500e+01,1.504948e+00
1.986146e+01,1.507205e+00
2.025000e+01,1.481727e+00
9.675000e+01,-1.559833e-01
9.713854e+01,-1.617643e-01
9.787500e+01,-1.713449e-01
9.861146e+01,-1.793105e-01
9.900000e+01,-1.825283e-01
8.325000e+01,3.590406e-03
8.286146e+01,1.997194e-02
8.212500e+01,2.842182e-02
8.138854e+01,4.218227e-02
8.100000e+01,4.283705e-02
1.012500e+02,-1.911174e-01
1.016385e+02,-1.970837e-01
1.023750e+02,-2.066496e-01
1.031115e+02,-2.137089e-01
1.035000e+02,-2.167030e-01
7.875000e+01,8.196974e-02
7.836146e+01,9.830246e-02
7.762500e+01,1.099164e-01
7.688854e+01,1.208610e-01
7.650000e+01,1.098167e-01
2.925000e+01,1.295994e+00
2.963854e+01,1.323280e+00
3.037500e+01,1.278074e+00
3.111146e+01,1.280305e+00
3.150000e+01,1.227954e+00
2.250000e+00,1.668362e+00
2.638542e+00,1.630619e+00
3.375000e+00,1.619521e+00
