Angle,Cp,p
-1.417500e+02,-2.333223e-01,6.190987e-02
-1.421385e+02,-2.332203e-01,6.196084e-02
-1.428750e+02,-2.331059e-01,6.201806e-02
-1.436115e+02,-2.331451e-01,6.199845e-02
-1.440000e+02,-2.332453e-01,6.194836e-02
-4.725000e+01,8.328474e-01,5.949947e-01
-4.686146e+01,8.428968e-01,6.000194e-01
-4.612500e+01,8.619736e-01,6.095578e-01
-4.538854e+01,8.818237e-01,6.194829e-01
-4.500000e+01,8.909743e-01,6.240581e-01
-6.525000e+01,3.781580e-01,3.676500e-01
-6.563854e+01,3.675413e-01,3.623416e-01
-6.637500e+01,3.480529e-01,3.525974e-01
-6.711146e+01,3.334989e-01,3.453204e-01
-6.750000e+01,3.236130e-01,3.403775e-01
2.475000e+01,1.383112e+00,8.701268e-01
2.436146e+01,1.389650e+00,8.733959e-01
2.362500e+01,1.404374e+00,8.807580e-01
2.288854e+01,1.418101e+00,8.876213e-01
2.250000e+01,1.423407e+00,8.902747e-01
-6.788854e+01,3.179466e-01,3.375443e-01
-6.862500e+01,3.008891e-01,3.290156e-01
-6.936146e+01,2.830578e-01,3.200999e-01
-6.975000e+01,2.726180e-01,3.148800e-01
2.211146e+01,1.432758e+00,8.949501e-01
2.137500e+01,1.445666e+00,9.014042e-01
2.063854e+01,1.459277e+00,9.082097e-01
2.025000e+01,1.462638e+00,9.098900e-01
-1.575000e+02,-2.359167e-01,6.061267e-02
-1.578885e+02,-2.359779e-01,6.058206e-02
-1.586250e+02,-2.361179e-01,6.051203e-02
-1.593615e+02,-2.362977e-01,6.042216e-02
-1.597500e+02,-2.364103e-01,6.036586e-02
9.900000e+01,-1.703419e-01,9.340007e-02
9.861146e+01,-1.666021e-01,9.526997e-02
9.787500e+01,-1.584703e-01,9.933586e-02
9.713854e+01,-1.553297e-01,1.009062e-01
9.675000e+01,-1.602582e-01,9.844188e-02
-1.777500e+02,-2.093111e-01,7.391544e-02
-1.781385e+02,-2.059630e-01,7.558952e-02
-1.788750e+02,-2.043899e-01,7.637607e-02
-1.796115e+02,-2.050956e-01,7.602320e-02
1.800000e+02,-2.077944e-01,7.467382e-02
-8.775000e+01,-4.934320e-02,1.538994e-01
-8.813854e+01,-5.488118e-02,1.511304e-01
-8.887500e+01,-6.391513e-02,1.466134e-01
-8.961146e+01,-7.274985e-02,1.421961e-01
-9.000000e+01,-7.726917e-02,1.399364e-01
-1.192500e+02,-2.387337e-01,5.920413e-02
-1.196385e+02,-2.389971e-01,5.907247e-02
-1.203750e+02,-2.377307e-01,5.970563e-02
-1.211115e+02,-2.356548e-01,6.074359e-02
-1.215000e+02,-2.347193e-01,6.121134e-02
-1.800000e+01,1.500410e+00,9.287762e-01
-1.838854e+01,1.494474e+00,9.258081e-01
-1.912500e+01,1.482275e+00,9.197087e-01
-1.986146e+01,1.469805e+00,9.134737e-01
-2.025000e+01,1.462216e+00,9.096789e-01
-9.675000e+01,-1.539481e-01,1.015970e-01
-9.713854e+01,-1.590242e-01,9.905892e-02
-9.787500e+01,-1.670494e-01,9.504628e-02
-9.861146e+01,-1.731941e-01,9.197395e-02
-9.900000e+01,-1.777417e-01,8.970013e-02
8.325000e+01,1.668209e-02,1.869120e-01
8.286146e+01,2.491850e-02,1.910302e-01
8.212500e+01,3.498861e-02,1.960653e-01
8.138854e+01,4.864541e-02,2.028937e-01
8.100000e+01,5.229846e-02,2.047202e-01
-1.012500e+02,-2.015309e-01,7.780557e-02
-1.016385e+02,-2.027999e-01,7.717104e-02
-1.023750e+02,-2.082889e-01,7.442653e-02
-1.031115e+02,-2.124767e-01,7.233267e-02
-1.035000e+02,-2.164782e-01,7.033192e-02
7.875000e+01,9.211838e-02,2.246302e-01
7.836146e+01,1.014001e-01,2.292711e-01
7.762500e+01,1.145344e-01,2.358382e-01
7.688854e+01,1.291620e-01,2.431520e-01
7.650000e+01,1.323413e-01,2.447417e-01
-2.925000e+01,1.286780e+00,8.219610e-01
-2.963854e+01,1.278505e+00,8.178237e-01
-3.037500e+01,1.261371e+00,8.092566e-01
-3.111146e+01,1.245014e+00,8.010778e-01
-3.150000e+01,1.235411e+00,7.962765e-01
2.250000e+00,1.666368e+00,1.011755e+00
2.638542e+00,1.672252e+00,1.014697e+00
3.375000e+00,1.668287e+00,1.012714e+00
4.111458e+00,1.666036e+00,1.011589e+00
4.500000e+00,1.653965e+00,1.005554e+00
1.732500e+02,-2.257107e-01,6.571564e-02
1.736385e+02,-2.239432e-01,6.659941e-02
1.743750e+02,-2.207102e-01,6.821588e-02
1.751115e+02,-2.173928e-01,6.987458e-02
1.755000e+02,-2.155003e-01,7.082083e-02
1.327500e+02,-2.349951e-01,6.107347e-02
1.323615e+02,-2.349821e-01,6.107996e-02
1.316250e+02,-2.349638e-01,6.108909e-02
1.308885e+02,-2.349599e-01,6.109103e-02
1.305000e+02,-2.349641e-01,6.108897e-02
4.275000e+01,9.483719e-01,6.527569e-01
4.236146e+01,9.590850e-01,6.581135e-01
4.162500e+01,9.773268e-01,6.672344e-01
4.088854e+01,9.966707e-01,6.769063e-01
4.050000e+01,1.004464e+00,6.808030e-01
4.500000e+01,8.902447e-01,6.236933e-01
4.461146e+01,9.010614e-01,6.291017e-01
4.387500e+01,9.195844e-01,6.383632e-01
4.313854e+01,9.391491e-01,6.481456e-01
1.350000e+02,-2.351042e-01,6.101888e-02
1.346115e+02,-2.350821e-01,6.102997e-02
1.338750e+02,-2.350436e-01,6.104918e-02
1.331385e+02,-2.350099e-01,6.106605e-02
9.225000e+01,-1.060655e-01,1.255382e-01
9.186146e+01,-9.914580e-02,1.289981e-01
9.112500e+01,-9.246036e-02,1.323408e-01
9.038854e+01,-8.194542e-02,1.375983e-01
9.000000e+01,-7.912165e-02,1.390102e-01
1.215000e+02,-2.367484e-01,6.019679e-02
1.211115e+02,-2.369791e-01,6.008144e-02
1.203750e+02,-2.373760e-01,5.988298e-02
1.196385e+02,-2.376987e-01,5.972166e-02
1.192500e+02,-2.379088e-01,5.961662e-02
-5.850000e+01,5.356385e-01,4.463902e-01
-5.888854e+01,5.293784e-01,4.432602e-01
-5.962500e+01,5.110246e-01,4.340833e-01
-6.036146e+01,4.930141e-01,4.250781e-01
-6.075000e+01,4.832931e-01,4.202176e-01
1.237500e+02,-2.357196e-01,6.071118e-02
1.233615e+02,-2.358307e-01,6.065563e-02
1.226250e+02,-2.361235e-01,6.050924e-02
1.218885e+02,-2.365028e-01,6.031962e-02
1.012500e+02,-1.990276e-01,7.905722e-02
1.008615e+02,-1.934041e-01,8.186896e-02
1.001250e+02,-1.901577e-01,8.349213e-02
9.938854e+01,-1.786547e-01,8.924367e-02
-1.687500e+02,-2.460987e-01,5.552166e-02
-1.691385e+02,-2.423159e-01,5.741305e-02
-1.698750e+02,-2.430770e-01,5.703249e-02
-1.706115e+02,-2.425682e-01,5.728690e-02
-1.710000e+02,-2.458675e-01,5.563725e-02
-7.875000e+01,9.087989e-02,2.240109e-01
-7.913854e+01,8.598596e-02,2.215640e-01
-7.987500e+01,7.302514e-02,2.150836e-01
-8.061146e+01,6.177408e-02,2.094580e-01
-8.100000e+01,5.459774e-02,2.058699e-01
1.125000e+01,1.590910e+00,9.740258e-01
1.086146e+01,1.600827e+00,9.789847e-01
1.012500e+01,1.607693e+00,9.824177e-01
9.388542e+00,1.617325e+00,9.872333e-01
9.000000e+00,1.615223e+00,9.861826e-01
1.080000e+02,-2.449919e-01,5.607503e-02
