Angle,Cp
1.417500e+02,-2.333223e-01
1.421385e+02,-2.332203e-01
1.428750e+02,-2.331059e-01
1.436115e+02,-2.331451e-01
1.440000e+02,-2.332453e-01
4.725000e+01,8.328474e-01
4.686146e+01,8.428968e-01
4.612500e+01,8.619736e-01
4.538854e+01,8.818237e-01
4.500000e+01,8.909743e-01
6.525000e+01,3.781580e-01
6.563854e+01,3.675413e-01
6.637500e+01,3.480529e-01
6.711146e+01,3.334989e-01
6.750000e+01,3.236130e-01
2.475000e+01,1.383112e+00
2.436146e+01,1.389650e+00
2.362500e+01,1.404374e+00
2.288854e+01,1.418101e+00
2.250000e+01,1.423407e+00
6.788854e+01,3.179466e-01
6.862500e+01,3.008891e-01
6.936146e+01,2.830578e-01
6.975000e+01,2.726180e-01
2.211146e+01,1.432758e+00
2.137500e+01,1.445666e+00
2.063854e+01,1.459277e+00
2.025000e+01,1.462638e+00
1.575000e+02,-2.359167e-01
1.578885e+02,-2.359779e-01
1.586250e+02,-2.361179e-01
1.593615e+02,-2.362977e-01
1.597500e+02,-2.364103e-01
9.900000e+01,-1.703419e-01
9.861146e+01,-1.666021e-01
9.787500e+01,-1.584703e-01
9.713854e+01,-1.553297e-01
9.675000e+01,-1.602582e-01
1.777500e+02,-2.093111e-01
1.781385e+02,-2.059630e-01
1.788750e+02,-2.043899e-01
1.796115e+02,-2.050956e-01
1.800000e+02,-2.077944e-01
8.775000e+01,-4.934320e-02
8.813854e+01,-5.488118e-02
8.887500e+01,-6.391513e-02
8.961146e+01,-7.274985e-02
9.000000e+01,-7.726917e-02
1.192500e+02,-2.387337e-01
1.196385e+02,-2.389971e-01
1.203750e+02,-2.377307e-01
1.211115e+02,-2.356548e-01
1.215000e+02,-2.347193e-01
1.800000e+01,1.500410e+00
1.838854e+01,1.494474e+00
1.912500e+01,1.482275e+00
1.986146e+01,1.469805e+00
2.025000e+01,1.462216e+00
9.675000e+01,-1.539481e-01
9.713854e+01,-1.590242e-01
9.787500e+01,-1.670494e-01
9.861146e+01,-1.731941e-01
9.900000e+01,-1.777417e-01
8.325000e+01,1.668209e-02
8.286146e+01,2.491850e-02
8.212500e+01,3.498861e-02
8.138854e+01,4.864541e-02
8.100000e+01,5.229846e-02
1.012500e+02,-2.015309e-01
1.016385e+02,-2.027999e-01
1.023750e+02,-2.082889e-01
1.031115e+02,-2.124767e-01
1.035000e+02,-2.164782e-01
7.875000e+01,9.211838e-02
7.836146e+01,1.014001e-01
7.762500e+01,1.145344e-01
7.688854e+01,1.291620e-01
7.650000e+01,1.323413e-01
2.925000e+01,1.286780e+00
2.963854e+01,1.278505e+00
3.037500e+01,1.261371e+00
3.111146e+01,1.245014e+00
3.150000e+01,1.235411e+00
2.250000e+00,1.666368e+00
2.638542e+00,1.672252e+00
3.375000e+00,1.668287e+00
4.111458e+00,1.666036e+00
4.500000e+00,1.653965e+00
1.732500e+02,-2.257107e-01
1.736385e+02,-2.239432e-01
1.743750e+02,-2.207102e-01
1.751115e+02,-2.173928e-01
1.755000e+02,-2.155003e-01
1.327500e+02,-2.349951e-01
1.323615e+02,-2.349821e-01
1.316250e+02,-2.349638e-01
1.308885e+02,-2.349599e-01
1.305000e+02,-2.349641e-01
4.275000e+01,9.483719e-01
4.236146e+01,9.590850e-01
4.162500e+01,9.773268e-01
4.088854e+01,9.966707e-01
