Angle,Cp
1.417500e+02,-2.479577e-01
1.421385e+02,-2.479567e-01
1.428750e+02,-2.479633e-01
1.436115e+02,-2.479867e-01
1.440000e+02,-2.480139e-01
4.725000e+01,8.245231e-01
4.686146e+01,8.352846e-01
4.612500e+01,8.536865e-01
4.538854e+01,8.716737e-01
4.500000e+01,8.833542e-01
6.525000e+01,3.621908e-01
6.563854e+01,3.513661e-01
6.637500e+01,3.290999e-01
6.711146e+01,3.104458e-01
6.750000e+01,3.020872e-01
2.475000e+01,1.380484e+00
2.436146e+01,1.389285e+00
2.362500e+01,1.405230e+00
2.288854e+01,1.420245e+00
2.250000e+01,1.428051e+00
6.788854e+01,2.936768e-01
6.862500e+01,2.839975e-01
6.936146e+01,2.712051e-01
6.975000e+01,2.625431e-01
2.211146e+01,1.433402e+00
2.137500e+01,1.445448e+00
2.063854e+01,1.458359e+00
2.025000e+01,1.465331e+00
1.575000e+02,-2.507992e-01
1.578885e+02,-2.508068e-01
1.586250e+02,-2.508355e-01
1.593615e+02,-2.508874e-01
1.597500e+02,-2.509242e-01
9.900000e+01,-1.718074e-01
9.861146e+01,-1.690653e-01
9.787500e+01,-1.675397e-01
9.713854e+01,-1.692333e-01
9.675000e+01,-1.714199e-01
1.777500e+02,-2.420773e-01
1.781385e+02,-2.413216e-01
1.788750e+02,-2.399448e-01
1.796115e+02,-2.386627e-01
1.800000e+02,-2.380380e-01
8.775000e+01,-5.252063e-02
8.813854e+01,-5.752990e-02
8.887500e+01,-6.735188e-02
8.961146e+01,-7.735038e-02
9.000000e+01,-8.261427e-02
1.192500e+02,-2.536850e-01
1.196385e+02,-2.531260e-01
1.203750e+02,-2.528570e-01
1.211115e+02,-2.526578e-01
1.215000e+02,-2.521039e-01
1.800000e+01,1.505608e+00
1.838854e+01,1.499524e+00
1.912500e+01,1.487570e+00
1.986146e+01,1.475098e+00
2.025000e+01,1.468330e+00
9.675000e+01,-1.597726e-01
9.713854e+01,-1.647345e-01
9.787500e+01,-1.731515e-01
9.861146e+01,-1.817975e-01
9.900000e+01,-1.863711e-01
8.325000e+01,9.382339e-03
8.286146e+01,1.567438e-02
8.212500e+01,2.736223e-02
8.138854e+01,3.855649e-02
8.100000e+01,4.454783e-02
1.012500e+02,-1.901886e-01
1.016385e+02,-1.928794e-01
1.023750e+02,-2.016750e-01
1.031115e+02,-2.110185e-01
1.035000e+02,-2.158071e-01
7.875000e+01,8.625710e-02
7.836146e+01,9.391999e-02
7.762500e+01,1.072748e-01
7.688854e+01,1.187763e-01
7.650000e+01,1.245137e-01
2.925000e+01,1.290503e+00
2.963854e+01,1.280755e+00
3.037500e+01,1.261727e+00
3.111146e+01,1.243487e+00
3.150000e+01,1.234338e+00
2.250000e+00,1.663102e+00
2.638542e+00,1.664119e+00
3.375000e+00,1.665580e+00
4.111458e+00,1.666199e+00
4.500000e+00,1.666110e+00
1.732500e+02,-2.344441e-01
1.736385e+02,-2.342554e-01
1.743750e+02,-2.340162e-01
1.751115e+02,-2.339465e-01
1.755000e+02,-2.339826e-01
1.327500e+02,-2.431033e-01
1.323615e+02,-2.431154e-01
1.316250e+02,-2.431440e-01
1.308885e+02,-2.431824e-01
1.305000e+02,-2.432066e-01
4.275000e+01,9.448776e-01
4.236146e+01,9.553190e-01
4.162500e+01,9.757583e-01
4.088854e+01,9.969001e-01
4.050000e+01,1.008156e+00
4.500000e+01,8.849339e-01
4.461146e+01,8.958046e-01
4.387500e+01,9.155786e-01
4.313854e+01,9.345263e-01
1.350000e+02,-2.430499e-01
