Angle,Cp,p
-1.417500e+02,-2.398351e-01,5.865347e-02
-1.421385e+02,-2.398088e-01,5.866661e-02
-1.428750e+02,-2.397547e-01,5.869364e-02
-1.436115e+02,-2.396779e-01,5.873203e-02
-1.440000e+02,-2.396268e-01,5.875758e-02
-4.725000e+01,8.235531e-01,5.903475e-01
-4.686146e+01,8.335862e-01,5.953641e-01
-4.612500e+01,8.546267e-01,6.058844e-01
-4.538854e+01,8.732171e-01,6.151795e-01
-4.500000e+01,8.830937e-01,6.201178e-01
-6.525000e+01,3.767526e-01,3.669473e-01
-6.563854e+01,3.669346e-01,3.620383e-01
-6.637500e+01,3.469820e-01,3.520620e-01
-6.711146e+01,3.246620e-01,3.409020e-01
-6.750000e+01,3.129812e-01,3.350616e-01
2.475000e+01,1.381017e+00,8.690793e-01
2.436146e+01,1.388275e+00,8.727087e-01
2.362500e+01,1.404572e+00,8.808572e-01
2.288854e+01,1.416926e+00,8.870342e-01
2.250000e+01,1.421642e+00,8.893921e-01
-6.788854e+01,3.116394e-01,3.343907e-01
-6.862500e+01,3.003739e-01,3.287580e-01
-6.936146e+01,2.798980e-01,3.185200e-01
-6.975000e+01,2.702981e-01,3.137200e-01
2.211146e+01,1.427759e+00,8.924506e-01
2.137500e+01,1.442750e+00,8.999462e-01
2.063854e+01,1.456819e+00,9.069806e-01
2.025000e+01,1.465923e+00,9.115325e-01
-1.575000e+02,-2.424213e-01,5.736035e-02
-1.578885e+02,-2.424337e-01,5.735416e-02
-1.586250e+02,-2.424683e-01,5.733684e-02
-1.593615e+02,-2.425249e-01,5.730856e-02
-1.597500e+02,-2.425646e-01,5.728872e-02
9.900000e+01,-1.745979e-01,9.127206e-02
9.861146e+01,-1.700118e-01,9.356510e-02
9.787500e+01,-1.628609e-01,9.714054e-02
9.713854e+01,-1.631152e-01,9.701339e-02
9.675000e+01,-1.646423e-01,9.624987e-02
-1.777500e+02,-2.356271e-01,6.075746e-02
-1.781385e+02,-2.349573e-01,6.109236e-02
-1.788750e+02,-2.337399e-01,6.170103e-02
-1.796115e+02,-2.326169e-01,6.226254e-02
1.800000e+02,-2.320753e-01,6.253333e-02
-8.775000e+01,-5.471930e-02,1.512114e-01
-8.813854e+01,-6.003892e-02,1.485515e-01
-8.887500e+01,-7.010236e-02,1.435198e-01
-8.961146e+01,-8.013996e-02,1.385010e-01
-9.000000e+01,-8.524710e-02,1.359475e-01
-1.192500e+02,-2.438615e-01,5.664025e-02
-1.196385e+02,-2.436447e-01,5.674865e-02
-1.203750e+02,-2.439033e-01,5.661933e-02
-1.211115e+02,-2.435427e-01,5.679965e-02
-1.215000e+02,-2.430288e-01,5.705661e-02
-1.800000e+01,1.504505e+00,9.308234e-01
-1.838854e+01,1.498783e+00,9.279627e-01
-1.912500e+01,1.486935e+00,9.220387e-01
-1.986146e+01,1.475070e+00,9.161060e-01
-2.025000e+01,1.468090e+00,9.126158e-01
-9.675000e+01,-1.597055e-01,9.871824e-02
-9.713854e+01,-1.641555e-01,9.649324e-02
-9.787500e+01,-1.722727e-01,9.243464e-02
-9.861146e+01,-1.793524e-01,8.889478e-02
-9.900000e+01,-1.821414e-01,8.750028e-02
8.325000e+01,7.920296e-03,1.825311e-01
8.286146e+01,1.394782e-02,1.855449e-01
8.212500e+01,2.585358e-02,1.914978e-01
8.138854e+01,3.717733e-02,1.971597e-01
8.100000e+01,4.257774e-02,1.998599e-01
-1.012500e+02,-1.941906e-01,8.147570e-02
-1.016385e+02,-1.984189e-01,7.936157e-02
-1.023750e+02,-2.070495e-01,7.504623e-02
-1.031115e+02,-2.154450e-01,7.084849e-02
-1.035000e+02,-2.188243e-01,6.915886e-02
7.875000e+01,8.320496e-02,2.201735e-01
7.836146e+01,9.058091e-02,2.238615e-01
7.762500e+01,1.055760e-01,2.313590e-01
7.688854e+01,1.183676e-01,2.377548e-01
7.650000e+01,1.239359e-01,2.405389e-01
-2.925000e+01,1.285135e+00,8.211383e-01
-2.963854e+01,1.274526e+00,8.158339e-01
-3.037500e+01,1.257152e+00,8.071470e-01
-3.111146e+01,1.241372e+00,7.992572e-01
-3.150000e+01,1.232304e+00,7.947230e-01
2.250000e+00,1.663479e+00,1.010310e+00
2.638542e+00,1.663443e+00,1.010293e+00
3.375000e+00,1.662908e+00,1.010025e+00
4.111458e+00,1.661791e+00,1.009466e+00
4.500000e+00,1.660648e+00,1.008895e+00
1.732500e+02,-2.301760e-01,6.348298e-02
1.736385e+02,-2.298874e-01,6.362730e-02
1.743750e+02,-2.294524e-01,6.384482e-02
1.751115e+02,-2.291835e-01,6.397923e-02
1.755000e+02,-2.291156e-01,6.401318e-02
1.327500e+02,-2.376246e-01,5.975870e-02
1.323615e+02,-2.376317e-01,5.975515e-02
1.316250e+02,-2.376479e-01,5.974705e-02
1.308885e+02,-2.376683e-01,5.973685e-02
1.305000e+02,-2.376801e-01,5.973093e-02
4.275000e+01,9.428395e-01,6.499907e-01
4.236146e+01,9.526376e-01,6.548898e-01
4.162500e+01,9.717549e-01,6.644484e-01
4.088854e+01,9.903097e-01,6.737258e-01
4.050000e+01,9.998537e-01,6.784979e-01
4.500000e+01,8.840214e-01,6.205817e-01
4.461146e+01,8.939558e-01,6.255489e-01
4.387500e+01,9.137186e-01,6.354303e-01
4.313854e+01,9.327104e-01,6.449262e-01
1.350000e+02,-2.375529e-01,5.979455e-02
1.346115e+02,-2.375727e-01,5.978463e-02
1.338750e+02,-2.376002e-01,5.977090e-02
1.331385e+02,-2.376165e-01,5.976275e-02
9.225000e+01,-1.132349e-01,1.219535e-01
9.186146e+01,-1.086513e-01,1.242454e-01
9.112500e+01,-9.985766e-02,1.286422e-01
9.038854e+01,-9.096771e-02,1.330871e-01
9.000000e+01,-8.630413e-02,1.354189e-01
1.215000e+02,-2.396493e-01,5.874636e-02
1.211115e+02,-2.399079e-01,5.861703e-02
1.203750e+02,-2.404837e-01,5.832917e-02
1.196385e+02,-2.411825e-01,5.797976e-02
1.192500e+02,-2.416140e-01,5.776399e-02
-5.850000e+01,5.286057e-01,4.428738e-01
-5.888854e+01,5.185951e-01,4.378685e-01
-5.962500e+01,4.991858e-01,4.281639e-01
-6.036146e+01,4.761562e-01,4.166491e-01
-6.075000e+01,4.667230e-01,4.119325e-01
1.237500e+02,-2.385116e-01,5.931519e-02
1.233615e+02,-2.386685e-01,5.923673e-02
1.226250e+02,-2.390155e-01,5.906327e-02
1.218885e+02,-2.394159e-01,5.886307e-02
1.012500e+02,-2.013488e-01,7.789662e-02
1.008615e+02,-1.979159e-01,7.961307e-02
1.001250e+02,-1.895719e-01,8.378503e-02
9.938854e+01,-1.802167e-01,8.846263e-02
-1.687500e+02,-2.432883e-01,5.692683e-02
-1.691385e+02,-2.432059e-01,5.696807e-02
-1.698750e+02,-2.430679e-01,5.703704e-02
-1.706115e+02,-2.430325e-01,5.705477e-02
-1.710000e+02,-2.431537e-01,5.699417e-02
-7.875000e+01,8.180094e-02,2.194715e-01
-7.913854e+01,7.528156e-02,2.162118e-01
-7.987500e+01,6.287357e-02,2.100078e-01
-8.061146e+01,5.028570e-02,2.037138e-01
-8.100000e+01,4.388374e-02,2.005129e-01
1.125000e+01,1.605025e+00,9.810837e-01
1.086146e+01,1.611311e+00,9.842265e-01
1.012500e+01,1.618259e+00,9.877005e-01
9.388542e+00,1.626327e+00,9.917346e-01
9.000000e+00,1.631552e+00,9.943469e-01
1.080000e+02,-2.472028e-01,5.496960e-02
1.076115e+02,-2.452783e-01,5.593187e-02
1.068750e+02,-2.415559e-01,5.779305e-02
1.061385e+02,-2.372997e-01,5.992115e-02
1.057500e+02,-2.350164e-01,6.106279e-02
-1.620000e+02,-2.429046e-01,5.711871e-02
-1.623885e+02,-2.429695e-01,5.708624e-02
-1.631250e+02,-2.430844e-01,5.702882e-02
-1.638615e+02,-2.431810e-01,5.698049e-02
-1.642500e+02,-2.432246e-01,5.695869e-02
-7.200000e+01,2.116690e-01,2.844055e-01
