Angle,Cp
1.417500e+02,-2.409200e-01
1.421385e+02,-2.408358e-01
1.428750e+02,-2.406896e-01
1.436115e+02,-2.405955e-01
1.440000e+02,-2.405875e-01
4.725000e+01,8.251776e-01
4.686146e+01,8.357830e-01
4.612500e+01,8.541792e-01
4.538854e+01,8.725196e-01
4.500000e+01,8.841756e-01
6.525000e+01,3.633327e-01
6.563854e+01,3.521611e-01
6.637500e+01,3.298973e-01
6.711146e+01,3.112918e-01
6.750000e+01,3.028923e-01
2.475000e+01,1.380371e+00
2.436146e+01,1.390311e+00
2.362500e+01,1.407796e+00
2.288854e+01,1.423150e+00
2.250000e+01,1.430423e+00
6.788854e+01,2.951345e-01
6.862500e+01,2.853871e-01
6.936146e+01,2.726098e-01
6.975000e+01,2.640916e-01
2.211146e+01,1.436000e+00
2.137500e+01,1.448192e+00
2.063854e+01,1.461550e+00
2.025000e+01,1.469309e+00
1.575000e+02,-2.441377e-01
1.578885e+02,-2.441456e-01
1.586250e+02,-2.441746e-01
1.593615e+02,-2.442291e-01
1.597500e+02,-2.442689e-01
9.900000e+01,-1.718289e-01
9.861146e+01,-1.690011e-01
9.787500e+01,-1.674088e-01
9.713854e+01,-1.691387e-01
9.675000e+01,-1.713347e-01
1.777500e+02,-2.305026e-01
1.781385e+02,-2.294991e-01
1.788750e+02,-2.277734e-01
1.796115e+02,-2.263263e-01
1.800000e+02,-2.256957e-01
8.775000e+01,-5.184206e-02
8.813854e+01,-5.686992e-02
8.887500e+01,-6.672186e-02
8.961146e+01,-7.673445e-02
9.000000e+01,-8.199611e-02
1.192500e+02,-2.455077e-01
1.196385e+02,-2.454174e-01
1.203750e+02,-2.456032e-01
1.211115e+02,-2.448601e-01
1.215000e+02,-2.442564e-01
1.800000e+01,1.504934e+00
1.838854e+01,1.499166e+00
1.912500e+01,1.487740e+00
1.986146e+01,1.475726e+00
2.025000e+01,1.469168e+00
9.675000e+01,-1.593831e-01
9.713854e+01,-1.643638e-01
9.787500e+01,-1.728107e-01
9.861146e+01,-1.814882e-01
9.900000e+01,-1.860798e-01
8.325000e+01,9.355368e-03
8.286146e+01,1.564619e-02
8.212500e+01,2.733430e-02
8.138854e+01,3.849474e-02
8.100000e+01,4.443103e-02
1.012500e+02,-1.899542e-01
1.016385e+02,-1.926732e-01
1.023750e+02,-2.014170e-01
1.031115e+02,-2.107158e-01
1.035000e+02,-2.154730e-01
7.875000e+01,8.628199e-02
7.836146e+01,9.396154e-02
7.762500e+01,1.073079e-01
7.688854e+01,1.187341e-01
7.650000e+01,1.242894e-01
2.925000e+01,1.292832e+00
2.963854e+01,1.282697e+00
3.037500e+01,1.263038e+00
3.111146e+01,1.244119e+00
3.150000e+01,1.234716e+00
2.250000e+00,1.639031e+00
2.638542e+00,1.640541e+00
3.375000e+00,1.643625e+00
4.111458e+00,1.646938e+00
4.500000e+00,1.648687e+00
1.732500e+02,-2.320536e-01
1.736385e+02,-2.309161e-01
1.743750e+02,-2.289250e-01
1.751115e+02,-2.272139e-01
1.755000e+02,-2.264447e-01
1.327500e+02,-2.463769e-01
1.323615e+02,-2.463831e-01
1.316250e+02,-2.464060e-01
1.308885e+02,-2.464461e-01
1.305000e+02,-2.464732e-01
4.275000e+01,9.445979e-01
4.236146e+01,9.552098e-01
4.162500e+01,9.758541e-01
4.088854e+01,9.969790e-01
4.050000e+01,1.008009e+00
4.500000e+01,8.848058e-01
4.461146e+01,8.953182e-01
4.387500e+01,9.145159e-01
4.313854e+01,9.337299e-01
1.350000e+02,-2.463974e-01
1.346115e+02,-2.463906e-01
1.338750e+02,-2.463792e-01
1.331385e+02,-2.463746e-01
9.225000e+01,-1.128512e-01
9.186146e+01,-1.081295e-01
9.112500e+01,-9.910047e-02
9.038854e+01,-8.999130e-02
9.000000e+01,-8.526173e-02
1.215000e+02,-2.495894e-01
1.211115e+02,-2.499231e-01
1.203750e+02,-2.506227e-01
1.196385e+02,-2.514274e-01
1.192500e+02,-2.519092e-01
5.850000e+01,5.262633e-01
5.888854e+01,5.162956e-01
5.962500e+01,4.982505e-01
6.036146e+01,4.800729e-01
6.075000e+01,4.692847e-01
1.237500e+02,-2.478566e-01
1.233615e+02,-2.481176e-01
1.226250e+02,-2.486926e-01
1.218885e+02,-2.492877e-01
1.012500e+02,-1.993322e-01
1.008615e+02,-1.939865e-01
1.001250e+02,-1.841028e-01
9.938854e+01,-1.761217e-01
1.687500e+02,-2.469197e-01
1.691385e+02,-2.467942e-01
1.698750e+02,-2.464493e-01
1.706115e+02,-2.460548e-01
1.710000e+02,-2.459089e-01
7.875000e+01,8.500061e-02
7.913854e+01,7.864577e-02
7.987500e+01,6.625101e-02
8.061146e+01,5.345699e-02
8.100000e+01,4.659686e-02
1.125000e+01,1.630438e+00
1.086146e+01,1.634948e+00
1.012500e+01,1.642266e+00
9.388542e+00,1.647888e+00
9.000000e+00,1.650152e+00
1.080000e+02,-2.507837e-01
1.076115e+02,-2.486869e-01
1.068750e+02,-2.444201e-01
1.061385e+02,-2.398831e-01
1.057500e+02,-2.374758e-01
1.620000e+02,-2.447092e-01
1.623885e+02,-2.448270e-01
1.631250e+02,-2.450854e-01
1.638615e+02,-2.453844e-01
1.642500e+02,-2.455566e-01
7.200000e+01,2.156614e-01
7.238854e+01,2.077343e-01
7.312500e+01,1.930615e-01
7.386146e+01,1.783274e-01
7.425000e+01,1.703862e-01
1.552500e+02,-2.441740e-01
1.556385e+02,-2.441606e-01
1.563750e+02,-2.441414e-01
1.571115e+02,-2.441358e-01
8.138854e+01,4.104316e-02
8.212500e+01,2.977666e-02
8.286146e+01,1.798278e-02
8.325000e+01,1.166579e-02
8.611459e+00,1.651969e+00
7.875000e+00,1.654213e+00
7.138542e+00,1.654994e+00
6.750000e+00,1.654871e+00
1.053615e+02,-2.349098e-01
1.046250e+02,-2.298360e-01
1.038885e+02,-2.245434e-01
1.035000e+02,-2.216881e-01
7.463854e+01,1.618213e-01
7.537500e+01,1.466440e-01
7.611146e+01,1.318488e-01
7.650000e+01,1.238600e-01
1.646385e+02,-2.457355e-01
1.653750e+02,-2.460833e-01
1.661115e+02,-2.464196e-01
1.665000e+02,-2.465775e-01
1.031115e+02,-2.186856e-01
1.023750e+02,-2.122857e-01
1.016385e+02,-2.043793e-01
1.668885e+02,-2.467206e-01
1.676250e+02,-2.469185e-01
1.683615e+02,-2.469753e-01
7.688854e+01,1.176777e-01
7.762500e+01,1.051826e-01
7.836146e+01,9.204200e-02
1.350000e+01,1.596617e+00
1.311146e+01,1.603260e+00
1.237500e+01,1.615025e+00
1.163854e+01,1.625513e+00
1.260000e+02,-2.470268e-01
1.256115e+02,-2.471155e-01
1.248750e+02,-2.473315e-01
1.241385e+02,-2.476346e-01
1.530000e+02,-2.443297e-01
1.533885e+02,-2.442869e-01
1.541250e+02,-2.442317e-01
1.548615e+02,-2.441890e-01
6.300000e+01,4.171042e-01
6.338854e+01,4.078647e-01
6.412500e+01,3.897806e-01
6.486146e+01,3.719943e-01
2.700000e+01,1.331111e+00
2.661146e+01,1.338848e+00
2.587500e+01,1.354058e+00
2.513854e+01,1.370840e+00
1.395000e+02,-2.412452e-01
1.398885e+02,-2.412179e-01
1.406250e+02,-2.411320e-01
1.413615e+02,-2.410016e-01
4.011146e+01,1.018331e+00
3.937500e+01,1.035185e+00
