Angle,Cp
1.417500e+02,-2.697814e-01
1.421385e+02,-2.697599e-01
1.428750e+02,-2.696948e-01
1.436115e+02,-2.695943e-01
1.440000e+02,-2.695308e-01
4.725000e+01,8.236707e-01
4.686146e+01,8.342811e-01
4.612500e+01,8.524766e-01
4.538854e+01,8.706313e-01
4.500000e+01,8.824066e-01
6.525000e+01,3.615390e-01
6.563854e+01,3.503222e-01
6.637500e+01,3.279525e-01
6.711146e+01,3.092745e-01
6.750000e+01,3.009096e-01
2.475000e+01,1.379976e+00
2.436146e+01,1.388317e+00
2.362500e+01,1.403766e+00
2.288854e+01,1.419195e+00
2.250000e+01,1.427183e+00
6.788854e+01,2.931565e-01
6.862500e+01,2.836147e-01
6.936146e+01,2.708928e-01
6.975000e+01,2.623838e-01
2.211146e+01,1.432747e+00
2.137500e+01,1.444545e+00
2.063854e+01,1.456598e+00
2.025000e+01,1.463228e+00
1.575000e+02,-2.714067e-01
1.578885e+02,-2.714221e-01
1.586250e+02,-2.714717e-01
1.593615e+02,-2.715566e-01
1.597500e+02,-2.716148e-01
9.900000e+01,-1.738424e-01
9.861146e+01,-1.696776e-01
9.787500e+01,-1.656000e-01
9.713854e+01,-1.672259e-01
9.675000e+01,-1.691391e-01
1.777500e+02,-2.446816e-01
1.781385e+02,-2.438057e-01
1.788750e+02,-2.428145e-01
1.796115e+02,-2.427470e-01
1.800000e+02,-2.430864e-01
8.775000e+01,-5.263325e-02
8.813854e+01,-5.763569e-02
8.887500e+01,-6.745776e-02
8.961146e+01,-7.745826e-02
9.000000e+01,-8.272230e-02
1.192500e+02,-2.900521e-01
1.196385e+02,-2.888250e-01
1.203750e+02,-2.858469e-01
1.211115e+02,-2.813773e-01
1.215000e+02,-2.788893e-01
1.800000e+01,1.504093e+00
1.838854e+01,1.497951e+00
1.912500e+01,1.485901e+00
1.986146e+01,1.473350e+00
2.025000e+01,1.466546e+00
9.675000e+01,-1.592313e-01
9.713854e+01,-1.638101e-01
9.787500e+01,-1.719361e-01
9.861146e+01,-1.794513e-01
9.900000e+01,-1.827632e-01
8.325000e+01,9.440364e-03
8.286146e+01,1.572436e-02
8.212500e+01,2.740199e-02
8.138854e+01,3.856579e-02
8.100000e+01,4.451162e-02
1.012500e+02,-1.946136e-01
1.016385e+02,-1.981976e-01
1.023750e+02,-2.061951e-01
1.031115e+02,-2.144078e-01
1.035000e+02,-2.186575e-01
7.875000e+01,8.626083e-02
7.836146e+01,9.392551e-02
7.762500e+01,1.072657e-01
7.688854e+01,1.187182e-01
7.650000e+01,1.243263e-01
2.925000e+01,1.287943e+00
2.963854e+01,1.278451e+00
