Angle,Cp
1.417500e+02,-2.467503e-01
1.421385e+02,-2.465828e-01
1.428750e+02,-2.469012e-01
1.436115e+02,-2.471082e-01
1.440000e+02,-2.476130e-01
4.725000e+01,8.275063e-01
4.686146e+01,8.580554e-01
4.612500e+01,8.659640e-01
4.538854e+01,8.911340e-01
4.500000e+01,8.391362e-01
6.525000e+01,3.833641e-01
6.563854e+01,3.962211e-01
6.637500e+01,3.617764e-01
6.711146e+01,3.390540e-01
6.750000e+01,2.927517e-01
2.475000e+01,1.398206e+00
2.436146e+01,1.451048e+00
2.362500e+01,1.441956e+00
2.288854e+01,1.439793e+00
2.250000e+01,1.398411e+00
6.788854e+01,2.773970e-01
6.862500e+01,2.784753e-01
6.936146e+01,2.697688e-01
6.975000e+01,2.462358e-01
2.211146e+01,1.443046e+00
2.137500e+01,1.435734e+00
2.063854e+01,1.479406e+00
2.025000e+01,1.445025e+00
1.575000e+02,-2.507549e-01
1.578885e+02,-2.507177e-01
1.586250e+02,-2.509255e-01
1.593615e+02,-2.511432e-01
1.597500e+02,-2.515356e-01
9.900000e+01,-1.790546e-01
9.861146e+01,-1.699735e-01
9.787500e+01,-1.637198e-01
9.713854e+01,-1.567211e-01
9.675000e+01,-1.619946e-01
1.777500e+02,-2.084719e-01
1.781385e+02,-2.053484e-01
1.788750e+02,-2.034569e-01
1.796115e+02,-2.018780e-01
1.800000e+02,-2.026941e-01
8.775000e+01,-5.084121e-02
8.813854e+01,-5.577522e-02
8.887500e+01,-6.423309e-02
8.961146e+01,-7.250753e-02
9.000000e+01,-7.599506e-02
1.192500e+02,-2.616517e-01
1.196385e+02,-2.590671e-01
1.203750e+02,-2.556633e-01
1.211115e+02,-2.534961e-01
1.215000e+02,-2.529111e-01
1.800000e+01,1.490329e+00
1.838854e+01,1.517146e+00
1.912500e+01,1.500128e+00
1.986146e+01,1.501921e+00
2.025000e+01,1.465243e+00
9.675000e+01,-1.515163e-01
9.713854e+01,-1.561633e-01
9.787500e+01,-1.654134e-01
9.861146e+01,-1.713009e-01
9.900000e+01,-1.759020e-01
8.325000e+01,4.943044e-03
8.286146e+01,2.583760e-02
8.212500e+01,3.084359e-02
8.138854e+01,4.808262e-02
8.100000e+01,4.121134e-02
1.012500e+02,-2.006775e-01
1.016385e+02,-2.001183e-01
1.023750e+02,-2.059982e-01
1.031115e+02,-2.106206e-01
1.035000e+02,-2.140496e-01
7.875000e+01,8.105230e-02
7.836146e+01,1.045674e-01
7.762500e+01,1.112357e-01
7.688854e+01,1.281580e-01
7.650000e+01,1.108631e-01
2.925000e+01,1.280809e+00
2.963854e+01,1.330021e+00
3.037500e+01,1.282874e+00
3.111146e+01,1.285072e+00
3.150000e+01,1.230127e+00
2.250000e+00,1.672069e+00
2.638542e+00,1.676920e+00
3.375000e+00,1.672164e+00
4.111458e+00,1.673818e+00
4.500000e+00,1.660642e+00
1.732500e+02,-2.418439e-01
1.736385e+02,-2.378638e-01
1.743750e+02,-2.327072e-01
1.751115e+02,-2.262741e-01
1.755000e+02,-2.261255e-01
1.327500e+02,-2.490021e-01
1.323615e+02,-2.489697e-01
1.316250e+02,-2.489942e-01
1.308885e+02,-2.490401e-01
1.305000e+02,-2.490154e-01
4.275000e+01,9.619245e-01
4.236146e+01,1.001096e+00
4.162500e+01,1.000112e+00
4.088854e+01,1.037275e+00
4.050000e+01,9.749793e-01
4.500000e+01,8.973521e-01
4.461146e+01,9.320862e-01
4.387500e+01,9.353075e-01
4.313854e+01,9.726939e-01
1.350000e+02,-2.491397e-01
1.346115e+02,-2.490879e-01
1.338750e+02,-2.490176e-01
1.331385e+02,-2.489686e-01
9.225000e+01,-1.095380e-01
9.186146e+01,-9.558946e-02
9.112500e+01,-9.252584e-02
9.038854e+01,-7.975703e-02
9.000000e+01,-8.718559e-02
1.215000e+02,-2.534714e-01
1.211115e+02,-2.541245e-01
1.203750e+02,-2.560578e-01
1.196385e+02,-2.573468e-01
1.192500e+02,-2.587684e-01
5.850000e+01,4.997744e-01
5.888854e+01,5.236372e-01
5.962500e+01,4.990414e-01
6.036146e+01,4.849888e-01
6.075000e+01,4.500352e-01
1.237500e+02,-2.498370e-01
1.233615e+02,-2.497327e-01
1.226250e+02,-2.506425e-01
1.218885e+02,-2.519863e-01
1.012500e+02,-1.981715e-01
1.008615e+02,-1.908680e-01
1.001250e+02,-1.873798e-01
9.938854e+01,-1.778370e-01
1.687500e+02,-2.670517e-01
1.691385e+02,-2.637522e-01
1.698750e+02,-2.636196e-01
1.706115e+02,-2.640983e-01
1.710000e+02,-2.660334e-01
7.875000e+01,7.768265e-02
7.913854e+01,8.384359e-02
7.987500e+01,6.932673e-02
8.061146e+01,6.224993e-02
8.100000e+01,4.861683e-02
1.125000e+01,1.582901e+00
1.086146e+01,1.616827e+00
1.012500e+01,1.612678e+00
9.388542e+00,1.627190e+00
9.000000e+00,1.603349e+00
1.080000e+02,-2.460353e-01
1.076115e+02,-2.406347e-01
1.068750e+02,-2.380316e-01
1.061385e+02,-2.315798e-01
1.057500e+02,-2.328646e-01
1.620000e+02,-2.539084e-01
1.623885e+02,-2.540494e-01
1.631250e+02,-2.558527e-01
1.638615e+02,-2.571571e-01
1.642500e+02,-2.596687e-01
7.200000e+01,1.935124e-01
7.238854e+01,2.122813e-01
7.312500e+01,1.929570e-01
7.386146e+01,1.872910e-01
7.425000e+01,1.640294e-01
1.552500e+02,-2.506010e-01
1.556385e+02,-2.505327e-01
1.563750e+02,-2.505823e-01
1.571115e+02,-2.506145e-01
8.138854e+01,4.601228e-02
8.212500e+01,3.425959e-02
8.286146e+01,2.647433e-02
8.325000e+01,1.611799e-02
8.611459e+00,1.638483e+00
7.875000e+00,1.636689e+00
7.138542e+00,1.648672e+00
6.750000e+00,1.631741e+00
1.053615e+02,-2.257243e-01
1.046250e+02,-2.230148e-01
1.038885e+02,-2.158278e-01
1.035000e+02,-2.174731e-01
7.463854e+01,1.673855e-01
7.537500e+01,1.483669e-01
7.611146e+01,1.428584e-01
7.650000e+01,1.224697e-01
1.646385e+02,-2.588239e-01
1.653750e+02,-2.616811e-01
1.661115e+02,-2.627183e-01
1.665000e+02,-2.659619e-01
1.031115e+02,-2.096281e-01
1.023750e+02,-2.065712e-01
1.016385e+02,-1.981255e-01
1.668885e+02,-2.639164e-01
1.676250e+02,-2.661751e-01
1.683615e+02,-2.646393e-01
7.688854e+01,1.257158e-01
7.762500e+01,1.094800e-01
7.836146e+01,1.028641e-01
1.350000e+01,1.550115e+00
1.311146e+01,1.591659e+00
1.237500e+01,1.585203e+00
1.163854e+01,1.601157e+00
1.260000e+02,-2.497490e-01
1.256115e+02,-2.494815e-01
1.248750e+02,-2.494979e-01
1.241385e+02,-2.494070e-01
1.530000e+02,-2.507041e-01
1.533885e+02,-2.506275e-01
1.541250e+02,-2.505743e-01
1.548615e+02,-2.505395e-01
6.300000e+01,4.024453e-01
6.338854e+01,4.267071e-01
6.412500e+01,4.060678e-01
6.486146e+01,4.132108e-01
2.700000e+01,1.340207e+00
2.661146e+01,1.399206e+00
2.587500e+01,1.390359e+00
2.513854e+01,1.426917e+00
1.395000e+02,-2.466991e-01
1.398885e+02,-2.465937e-01
1.406250e+02,-2.466754e-01
1.413615e+02,-2.465705e-01
4.011146e+01,1.066533e+00
3.937500e+01,1.058732e+00
3.863854e+01,1.102716e+00
3.825000e+01,1.039636e+00
9.450000e+01,-1.334978e-01
9.411146e+01,-1.203827e-01
9.337500e+01,-1.178122e-01
9.263854e+01,-1.063820e-01
1.188615e+02,-2.593358e-01
1.181250e+02,-2.616895e-01
1.173885e+02,-2.638796e-01
1.170000e+02,-2.665037e-01
6.113854e+01,4.607998e-01
6.187500e+01,4.426011e-01
6.261146e+01,4.408796e-01
1.170000e+02,-2.724757e-01
1.173885e+02,-2.709012e-01
1.181250e+02,-2.674194e-01
1.188615e+02,-2.634683e-01
6.300000e+01,4.095278e-01
6.261146e+01,4.425928e-01
6.187500e+01,4.499580e-01
6.113854e+01,4.753465e-01
6.075000e+01,4.479767e-01
9.450000e+01,-1.304563e-01
9.488854e+01,-1.333129e-01
9.562500e+01,-1.399503e-01
9.636146e+01,-1.453146e-01
8.550000e+01,-2.818614e-02
8.511146e+01,-8.706658e-03
8.437500e+01,-5.096494e-03
8.363854e+01,1.156011e-02
5.850000e+01,5.260815e-01
5.811146e+01,5.580281e-01
5.737500e+01,5.625614e-01
5.663854e+01,5.891443e-01
5.625000e+01,5.567586e-01
1.575000e+01,1.522235e+00
1.613854e+01,1.546023e+00
1.687500e+01,1.532594e+00
1.761146e+01,1.533667e+00
7.425000e+01,1.659854e-01
7.386146e+01,1.923348e-01
7.312500e+01,1.974615e-01
7.238854e+01,2.172498e-01
7.200000e+01,1.976885e-01
5.586146e+01,6.133357e-01
5.512500e+01,6.204329e-01
5.438854e+01,6.455720e-01
5.400000e+01,6.110792e-01
3.375000e+01,1.142310e+00
3.413854e+01,1.199617e+00
3.487500e+01,1.172358e+00
3.561146e+01,1.170581e+00
3.600000e+01,1.126671e+00
1.687500e+02,-2.734092e-01
1.683615e+02,-2.715825e-01
1.676250e+02,-2.669184e-01
1.668885e+02,-2.646717e-01
1.665000e+02,-2.649039e-01
1.125000e+01,1.582870e+00
1.163854e+01,1.597772e+00
1.237500e+01,1.586921e+00
1.311146e+01,1.589180e+00
1.350000e+01,1.557799e+00
1.102500e+02,-2.577584e-01
1.106385e+02,-2.593260e-01
1.113750e+02,-2.624607e-01
1.121115e+02,-2.661264e-01
1.125000e+02,-2.669476e-01
1.597500e+02,-2.532318e-01
1.593615e+02,-2.528519e-01
1.586250e+02,-2.525871e-01
1.578885e+02,-2.523612e-01
1.575000e+02,-2.524334e-01
6.975000e+01,2.481765e-01
6.936146e+01,2.816069e-01
6.862500e+01,2.893515e-01
6.788854e+01,3.121457e-01
6.750000e+01,2.908544e-01
1.710000e+02,-2.587175e-01
1.706115e+02,-2.603077e-01
1.698750e+02,-2.657540e-01
1.691385e+02,-2.693997e-01
9.000000e+00,1.605980e+00
9.388542e+00,1.620637e+00
1.012500e+01,1.610869e+00
1.086146e+01,1.613034e+00
1.571115e+02,-2.522849e-01
1.563750e+02,-2.522547e-01
1.556385e+02,-2.522392e-01
1.552500e+02,-2.523327e-01
1.128885e+02,-2.697957e-01
1.136250e+02,-2.718466e-01
1.143615e+02,-2.739311e-01
1.147500e+02,-2.738277e-01
2.250000e+01,1.413464e+00
2.288854e+01,1.436369e+00
2.362500e+01,1.409958e+00
2.436146e+01,1.412150e+00
2.475000e+01,1.371699e+00
6.711146e+01,3.344076e-01
6.637500e+01,3.414816e-01
6.563854e+01,3.667378e-01
6.525000e+01,3.436463e-01
1.372500e+02,-2.495399e-01
1.368615e+02,-2.493541e-01
1.361250e+02,-2.492492e-01
1.353885e+02,-2.491410e-01
4.275000e+01,9.038408e-01
4.313854e+01,9.550299e-01
4.387500e+01,9.253058e-01
4.461146e+01,9.171412e-01
4.725000e+01,8.333417e-01
4.686146e+01,8.643340e-01
4.612500e+01,8.693695e-01
4.538854e+01,9.036365e-01
1.548615e+02,-2.522779e-01
1.541250e+02,-2.523879e-01
1.533885e+02,-2.524494e-01
1.530000e+02,-2.526171e-01
1.151385e+02,-2.751760e-01
1.158750e+02,-2.745023e-01
1.166115e+02,-2.734496e-01
2.513854e+01,1.382137e+00
2.587500e+01,1.344509e+00
2.661146e+01,1.336804e+00
2.700000e+01,1.262196e+00
6.486146e+01,3.884752e-01
6.412500e+01,3.948720e-01
6.338854e+01,4.184509e-01
6.036146e+01,4.995159e-01
5.962500e+01,5.057322e-01
5.888854e+01,5.335663e-01
4.950000e+01,7.646008e-01
4.911146e+01,7.946392e-01
4.837500e+01,8.003136e-01
4.763854e+01,8.337460e-01
4.050000e+01,9.667437e-01
4.088854e+01,1.020311e+00
4.162500e+01,9.887855e-01
4.236146e+01,9.825846e-01
3.825000e+01,1.027088e+00
3.863854e+01,1.083274e+00
3.937500e+01,1.052695e+00
4.011146e+01,1.047834e+00
5.175000e+01,7.000627e-01
5.136146e+01,7.317971e-01
5.062500e+01,7.375604e-01
4.988854e+01,7.676333e-01
7.161146e+01,2.337457e-01
7.087500e+01,2.397515e-01
7.013854e+01,2.602945e-01
9.225000e+01,-1.042289e-01
9.263854e+01,-1.092012e-01
9.337500e+01,-1.168455e-01
9.411146e+01,-1.236354e-01
1.260000e+02,-2.467829e-01
1.263885e+02,-2.466507e-01
1.271250e+02,-2.467449e-01
1.278615e+02,-2.467480e-01
1.282500e+02,-2.471421e-01
3.638854e+01,1.146289e+00
3.712500e+01,1.112291e+00
3.786146e+01,1.109294e+00
5.361146e+01,6.708744e-01
5.287500e+01,6.823537e-01
5.213854e+01,7.110121e-01
6.750000e+00,1.630038e+00
7.138542e+00,1.640315e+00
7.875000e+00,1.631430e+00
8.611459e+00,1.631489e+00
1.661115e+02,-2.634792e-01
1.653750e+02,-2.627945e-01
1.646385e+02,-2.603734e-01
1.642500e+02,-2.602519e-01
1.388854e+01,1.574326e+00
1.462500e+01,1.560801e+00
1.536146e+01,1.562080e+00
1.616115e+02,-2.530350e-01
1.608750e+02,-2.523314e-01
1.601385e+02,-2.515444e-01
7.161146e+01,2.298147e-01
7.087500e+01,2.333927e-01
7.013854e+01,2.574681e-01
1.800000e+01,1.477879e+00
1.838854e+01,1.510384e+00
1.912500e+01,1.503025e+00
1.986146e+01,1.514815e+00
9.488854e+01,-1.319512e-01
9.562500e+01,-1.446345e-01
9.636146e+01,-1.492946e-01
1.237500e+02,-2.486902e-01
1.233615e+02,-2.490229e-01
1.226250e+02,-2.508520e-01
1.218885e+02,-2.521520e-01
2.211146e+01,1.460251e+00
2.137500e+01,1.459063e+00
2.063854e+01,1.478504e+00
1.008615e+02,-1.923554e-01
