Angle,Cp,p
-1.417500e+02,-2.671879e-01,4.497704e-02
-1.421385e+02,-2.671733e-01,4.498436e-02
-1.428750e+02,-2.670994e-01,4.502128e-02
-1.436115e+02,-2.669462e-01,4.509792e-02
-1.440000e+02,-2.668386e-01,4.515171e-02
-4.725000e+01,8.236928e-01,5.904174e-01
-4.686146e+01,8.343395e-01,5.957407e-01
-4.612500e+01,8.526445e-01,6.048933e-01
-4.538854e+01,8.708378e-01,6.139899e-01
-4.500000e+01,8.825711e-01,6.198565e-01
-6.525000e+01,3.617231e-01,3.594325e-01
-6.563854e+01,3.504160e-01,3.537790e-01
-6.637500e+01,3.279422e-01,3.425421e-01
-6.711146e+01,3.092242e-01,3.331831e-01
-6.750000e+01,3.008518e-01,3.289969e-01
2.475000e+01,1.378404e+00,8.677732e-01
2.436146e+01,1.386048e+00,8.715950e-01
2.362500e+01,1.400333e+00,8.787376e-01
2.288854e+01,1.415470e+00,8.863059e-01
2.250000e+01,1.423773e+00,8.904573e-01
-6.788854e+01,2.931966e-01,3.251693e-01
-6.862500e+01,2.837884e-01,3.204652e-01
-6.936146e+01,2.711092e-01,3.141256e-01
-6.975000e+01,2.626039e-01,3.098729e-01
2.211146e+01,1.429412e+00,8.932770e-01
2.137500e+01,1.441267e+00,8.992045e-01
2.063854e+01,1.452908e+00,9.050251e-01
2.025000e+01,1.459056e+00,9.080991e-01
-1.575000e+02,-2.704679e-01,4.333706e-02
-1.578885e+02,-2.704526e-01,4.334470e-02
-1.586250e+02,-2.704294e-01,4.335631e-02
-1.593615e+02,-2.704175e-01,4.336225e-02
-1.597500e+02,-2.704157e-01,4.336313e-02
9.900000e+01,-1.713708e-01,9.288558e-02
9.861146e+01,-1.685490e-01,9.429651e-02
9.787500e+01,-1.669981e-01,9.507196e-02
9.713854e+01,-1.687715e-01,9.418527e-02
9.675000e+01,-1.709944e-01,9.307381e-02
-1.777500e+02,-2.653661e-01,4.588796e-02
-1.781385e+02,-2.640914e-01,4.652532e-02
-1.788750e+02,-2.615537e-01,4.779416e-02
-1.796115e+02,-2.588976e-01,4.912220e-02
1.800000e+02,-2.574706e-01,4.983570e-02
-8.775000e+01,-5.260512e-02,1.522684e-01
-8.813854e+01,-5.761191e-02,1.497650e-01
-8.887500e+01,-6.743952e-02,1.448512e-01
-8.961146e+01,-7.744488e-02,1.398486e-01
-9.000000e+01,-8.271229e-02,1.372149e-01
-1.192500e+02,-2.803699e-01,3.838603e-02
-1.196385e+02,-2.792155e-01,3.896323e-02
-1.203750e+02,-2.774855e-01,3.982824e-02
-1.211115e+02,-2.760557e-01,4.054314e-02
-1.215000e+02,-2.751244e-01,4.100881e-02
-1.800000e+01,1.501159e+00,9.291505e-01
-1.838854e+01,1.494904e+00,9.260229e-01
-1.912500e+01,1.482785e+00,9.199636e-01
-1.986146e+01,1.470247e+00,9.136944e-01
-2.025000e+01,1.463451e+00,9.102967e-01
-9.675000e+01,-1.599915e-01,9.857526e-02
-9.713854e+01,-1.649376e-01,9.610218e-02
-9.787500e+01,-1.733154e-01,9.191331e-02
-9.861146e+01,-1.819384e-01,8.760179e-02
-9.900000e+01,-1.864685e-01,8.533675e-02
8.325000e+01,9.762348e-03,1.834522e-01
8.286146e+01,1.605460e-02,1.865983e-01
8.212500e+01,2.774698e-02,1.924445e-01
8.138854e+01,3.892312e-02,1.980326e-01
8.100000e+01,4.487372e-02,2.010079e-01
-1.012500e+02,-1.905426e-01,8.329970e-02
-1.016385e+02,-1.932762e-01,8.193288e-02
-1.023750e+02,-2.020939e-01,7.752407e-02
-1.031115e+02,-2.114256e-01,7.285820e-02
-1.035000e+02,-2.162310e-01,7.045552e-02
7.875000e+01,8.669105e-02,2.219165e-01
7.836146e+01,9.436429e-02,2.257531e-01
7.762500e+01,1.077147e-01,2.324284e-01
7.688854e+01,1.191702e-01,2.381561e-01
7.650000e+01,1.247723e-01,2.409572e-01
-2.925000e+01,1.285398e+00,8.212702e-01
-2.963854e+01,1.276421e+00,8.167815e-01
-3.037500e+01,1.258872e+00,8.080072e-01
-3.111146e+01,1.241514e+00,7.993279e-01
-3.150000e+01,1.232513e+00,7.948277e-01
2.250000e+00,1.683496e+00,1.020319e+00
2.638542e+00,1.684250e+00,1.020696e+00
3.375000e+00,1.684605e+00,1.020873e+00
4.111458e+00,1.683321e+00,1.020232e+00
4.500000e+00,1.681941e+00,1.019541e+00
1.732500e+02,-2.405190e-01,5.831148e-02
1.736385e+02,-2.406864e-01,5.822780e-02
1.743750e+02,-2.413408e-01,5.790062e-02
1.751115e+02,-2.424299e-01,5.735603e-02
1.755000e+02,-2.431727e-01,5.698466e-02
1.327500e+02,-2.515618e-01,5.279012e-02
1.323615e+02,-2.515787e-01,5.278163e-02
1.316250e+02,-2.516200e-01,5.276100e-02
1.308885e+02,-2.516762e-01,5.273288e-02
1.305000e+02,-2.517111e-01,5.271545e-02
4.275000e+01,9.442564e-01,6.506992e-01
4.236146e+01,9.545694e-01,6.558557e-01
4.162500e+01,9.749374e-01,6.660397e-01
4.088854e+01,9.963885e-01,6.767653e-01
4.050000e+01,1.007915e+00,6.825287e-01
4.500000e+01,8.843947e-01,6.207684e-01
4.461146e+01,8.952517e-01,6.261969e-01
4.387500e+01,9.150259e-01,6.360840e-01
4.313854e+01,9.339492e-01,6.455456e-01
1.350000e+02,-2.515122e-01,5.281490e-02
1.346115e+02,-2.515177e-01,5.281216e-02
1.338750e+02,-2.515300e-01,5.280599e-02
1.331385e+02,-2.515481e-01,5.279694e-02
9.225000e+01,-1.124706e-01,1.223357e-01
9.186146e+01,-1.077489e-01,1.246966e-01
9.112500e+01,-9.872228e-02,1.292099e-01
9.038854e+01,-8.961773e-02,1.337621e-01
9.000000e+01,-8.488822e-02,1.361269e-01
1.215000e+02,-2.554012e-01,5.087041e-02
1.211115e+02,-2.557262e-01,5.070791e-02
1.203750e+02,-2.565121e-01,5.031497e-02
1.196385e+02,-2.575877e-01,4.977717e-02
1.192500e+02,-2.582232e-01,4.945942e-02
-5.850000e+01,5.254349e-01,4.412885e-01
-5.888854e+01,5.154075e-01,4.362747e-01
-5.962500e+01,4.972096e-01,4.271758e-01
-6.036146e+01,4.788632e-01,4.180026e-01
-6.075000e+01,4.680134e-01,4.125777e-01
1.237500e+02,-2.534645e-01,5.183874e-02
1.233615e+02,-2.538151e-01,5.166346e-02
1.226250e+02,-2.545252e-01,5.130840e-02
1.218885e+02,-2.551577e-01,5.099215e-02
1.012500e+02,-1.988718e-01,7.913508e-02
1.008615e+02,-1.935189e-01,8.181155e-02
1.001250e+02,-1.836434e-01,8.674931e-02
9.938854e+01,-1.756727e-01,9.073465e-02
-1.687500e+02,-2.732371e-01,4.195245e-02
-1.691385e+02,-2.734527e-01,4.184464e-02
-1.698750e+02,-2.738616e-01,4.164020e-02
-1.706115e+02,-2.742858e-01,4.142812e-02
-1.710000e+02,-2.746759e-01,4.123303e-02
-7.875000e+01,8.411384e-02,2.206279e-01
-7.913854e+01,7.764143e-02,2.173917e-01
-7.987500e+01,6.514549e-02,2.111437e-01
-8.061146e+01,5.231810e-02,2.047300e-01
-8.100000e+01,4.545304e-02,2.012975e-01
1.125000e+01,1.600801e+00,9.789716e-01
1.086146e+01,1.606872e+00,9.820069e-01
1.012500e+01,1.618222e+00,9.876820e-01
9.388542e+00,1.629256e+00,9.931991e-01
9.000000e+00,1.634894e+00,9.960180e-01
1.080000e+02,-2.512365e-01,5.295277e-02
1.076115e+02,-2.489475e-01,5.409725e-02
1.068750e+02,-2.444331e-01,5.635447e-02
1.061385e+02,-2.397697e-01,5.868616e-02
1.057500e+02,-2.373252e-01,5.990842e-02
-1.620000e+02,-2.705339e-01,4.330406e-02
-1.623885e+02,-2.705849e-01,4.327853e-02
-1.631250e+02,-2.707072e-01,4.321741e-02
-1.638615e+02,-2.708605e-01,4.314074e-02
-1.642500e+02,-2.709556e-01,4.309318e-02
-7.200000e+01,2.140534e-01,2.855977e-01
-7.238854e+01,2.060418e-01,2.815919e-01
-7.312500e+01,1.913162e-01,2.742291e-01
-7.386146e+01,1.763627e-01,2.667523e-01
-7.425000e+01,1.683486e-01,2.627453e-01
-1.552500e+02,-2.705994e-01,4.327131e-02
-1.556385e+02,-2.705714e-01,4.328531e-02
-1.563750e+02,-2.705252e-01,4.330839e-02
-1.571115e+02,-2.704862e-01,4.332790e-02
-8.138854e+01,3.989083e-02,1.985164e-01
-8.212500e+01,2.862275e-02,1.928824e-01
-8.286146e+01,1.686031e-02,1.870012e-01
-8.325000e+01,1.057059e-02,1.838563e-01
8.611459e+00,1.640386e+00,9.987642e-01
7.875000e+00,1.650363e+00,1.003753e+00
7.138542e+00,1.659563e+00,1.008352e+00
6.750000e+00,1.664045e+00,1.010594e+00
1.053615e+02,-2.347334e-01,6.120430e-02
1.046250e+02,-2.296297e-01,6.375617e-02
1.038885e+02,-2.243086e-01,6.641670e-02
1.035000e+02,-2.214278e-01,6.785712e-02
-7.463854e+01,1.607530e-01,2.589475e-01
-7.537500e+01,1.465572e-01,2.518496e-01
-7.611146e+01,1.322531e-01,2.446976e-01
-7.650000e+01,1.246096e-01,2.408758e-01
-1.646385e+02,-2.710621e-01,4.303994e-02
-1.653750e+02,-2.713034e-01,4.291928e-02
-1.661115e+02,-2.716111e-01,4.276547e-02
-1.665000e+02,-2.718030e-01,4.266950e-02
1.031115e+02,-2.183974e-01,6.937232e-02
1.023750e+02,-2.119267e-01,7.260767e-02
1.016385e+02,-2.039452e-01,7.659841e-02
-1.668885e+02,-2.720225e-01,4.255973e-02
-1.676250e+02,-2.724841e-01,4.232895e-02
-1.683615e+02,-2.729873e-01,4.207735e-02
-7.688854e+01,1.177394e-01,2.374407e-01
-7.762500e+01,1.046382e-01,2.308901e-01
-7.836146e+01,9.125582e-02,2.241989e-01
1.350000e+01,1.564588e+00,9.608651e-01
1.311146e+01,1.570879e+00,9.640107e-01
1.237500e+01,1.582799e+00,9.699705e-01
1.163854e+01,1.594652e+00,9.758970e-01
1.260000e+02,-2.523804e-01,5.238082e-02
1.256115e+02,-2.524935e-01,5.232425e-02
1.248750e+02,-2.527737e-01,5.218416e-02
1.241385e+02,-2.531704e-01,5.198582e-02
-1.530000e+02,-2.706427e-01,4.324967e-02
-1.533885e+02,-2.706660e-01,4.323802e-02
-1.541250e+02,-2.706687e-01,4.323664e-02
-1.548615e+02,-2.706204e-01,4.326080e-02
-6.300000e+01,4.157095e-01,3.864258e-01
-6.338854e+01,4.064275e-01,3.817848e-01
-6.412500e+01,3.882692e-01,3.727056e-01
-6.486146e+01,3.704433e-01,3.637926e-01
2.700000e+01,1.331992e+00,8.445670e-01
2.661146e+01,1.340525e+00,8.488335e-01
2.587500e+01,1.356350e+00,8.567458e-01
2.513854e+01,1.371342e+00,8.642418e-01
-1.395000e+02,-2.671309e-01,4.500556e-02
-1.398885e+02,-2.671466e-01,4.499770e-02
-1.406250e+02,-2.671750e-01,4.498350e-02
-1.413615e+02,-2.671919e-01,4.497503e-02
4.011146e+01,1.018889e+00,6.880156e-01
3.937500e+01,1.036717e+00,6.969295e-01
3.863854e+01,1.050349e+00,7.037453e-01
3.825000e+01,1.056352e+00,7.067469e-01
9.450000e+01,-1.376911e-01,1.097255e-01
9.411146e+01,-1.333873e-01,1.118774e-01
9.337500e+01,-1.251577e-01,1.159921e-01
9.263854e+01,-1.167776e-01,1.201822e-01
1.188615e+02,-2.590730e-01,4.903448e-02
1.181250e+02,-2.610785e-01,4.803175e-02
1.173885e+02,-2.637257e-01,4.670816e-02
1.170000e+02,-2.651534e-01,4.599432e-02
-6.113854e+01,4.590616e-01,4.081018e-01
-6.187500e+01,4.426940e-01,3.999180e-01
-6.261146e+01,4.254662e-01,3.913041e-01
-1.170000e+02,-2.849457e-01,3.609816e-02
-1.173885e+02,-2.847693e-01,3.618636e-02
-1.181250e+02,-2.836628e-01,3.673958e-02
-1.188615e+02,-2.816763e-01,3.773283e-02
6.300000e+01,4.123031e-01,3.847226e-01
6.261146e+01,4.224247e-01,3.897834e-01
6.187500e+01,4.403124e-01,3.987272e-01
6.113854e+01,4.578766e-01,4.075093e-01
6.075000e+01,4.674765e-01,4.123092e-01
-9.450000e+01,-1.377729e-01,1.096845e-01
-9.488854e+01,-1.415262e-01,1.078079e-01
-9.562500e+01,-1.489495e-01,1.040962e-01
-9.636146e+01,-1.562145e-01,1.004637e-01
8.550000e+01,-2.285689e-02,1.671426e-01
8.511146e+01,-1.704785e-02,1.700471e-01
8.437500e+01,-6.188302e-03,1.754768e-01
8.363854e+01,4.301996e-03,1.807220e-01
5.850000e+01,5.244117e-01,4.407769e-01
5.811146e+01,5.346101e-01,4.458760e-01
5.737500e+01,5.529641e-01,4.550531e-01
5.663854e+01,5.710032e-01,4.640726e-01
5.625000e+01,5.808752e-01,4.690086e-01
-1.575000e+01,1.534089e+00,9.456156e-01
-1.613854e+01,1.528724e+00,9.429330e-01
-1.687500e+01,1.518268e+00,9.377050e-01
-1.761146e+01,1.507221e+00,9.321816e-01
7.425000e+01,1.697755e-01,2.634587e-01
7.386146e+01,1.778650e-01,2.675035e-01
7.312500e+01,1.925556e-01,2.748488e-01
7.238854e+01,2.063921e-01,2.817671e-01
7.200000e+01,2.137409e-01,2.854415e-01
5.586146e+01,5.914986e-01,4.743203e-01
5.512500e+01,6.104209e-01,4.837814e-01
5.438854e+01,6.295166e-01,4.933293e-01
5.400000e+01,6.404652e-01,4.988036e-01
-3.375000e+01,1.178186e+00,7.676638e-01
-3.413854e+01,1.168066e+00,7.626039e-01
-3.487500e+01,1.150194e+00,7.536680e-01
-3.561146e+01,1.132123e+00,7.446325e-01
-3.600000e+01,1.122333e+00,7.397377e-01
1.687500e+02,-2.464961e-01,5.532297e-02
1.683615e+02,-2.473926e-01,5.487469e-02
1.676250e+02,-2.491340e-01,5.400398e-02
1.668885e+02,-2.509256e-01,5.310820e-02
1.665000e+02,-2.518176e-01,5.266220e-02
-1.125000e+01,1.585707e+00,9.714245e-01
-1.163854e+01,1.581898e+00,9.695200e-01
-1.237500e+01,1.574345e+00,9.657434e-01
-1.311146e+01,1.566337e+00,9.617395e-01
-1.350000e+01,1.561951e+00,9.595464e-01
-1.102500e+02,-2.642811e-01,4.643046e-02
-1.106385e+02,-2.662265e-01,4.545775e-02
-1.113750e+02,-2.697241e-01,4.370897e-02
-1.121115e+02,-2.729445e-01,4.209877e-02
-1.125000e+02,-2.745160e-01,4.131302e-02
1.597500e+02,-2.547136e-01,5.121418e-02
1.593615e+02,-2.544829e-01,5.132954e-02
1.586250e+02,-2.542365e-01,5.145274e-02
1.578885e+02,-2.540475e-01,5.154724e-02
1.575000e+02,-2.539523e-01,5.159484e-02
6.975000e+01,2.587936e-01,3.079678e-01
6.936146e+01,2.678780e-01,3.125100e-01
6.862500e+01,2.841271e-01,3.206346e-01
6.788854e+01,2.995649e-01,3.283535e-01
6.750000e+01,3.079479e-01,3.325450e-01
1.710000e+02,-2.419018e-01,5.762011e-02
1.706115e+02,-2.425176e-01,5.731218e-02
1.698750e+02,-2.439123e-01,5.661483e-02
1.691385e+02,-2.455614e-01,5.579032e-02
-9.000000e+00,1.605180e+00,9.811608e-01
-9.388542e+00,1.602046e+00,9.795941e-01
-1.012500e+01,1.595935e+00,9.765387e-01
-1.086146e+01,1.589376e+00,9.732589e-01
1.571115e+02,-2.538596e-01,5.164120e-02
1.563750e+02,-2.536978e-01,5.172211e-02
1.556385e+02,-2.535695e-01,5.178624e-02
1.552500e+02,-2.535129e-01,5.181454e-02
-1.128885e+02,-2.760081e-01,4.056697e-02
-1.136250e+02,-2.785889e-01,3.927654e-02
-1.143615e+02,-2.808084e-01,3.816682e-02
-1.147500e+02,-2.818107e-01,3.766563e-02
-2.250000e+01,1.422175e+00,8.896583e-01
-2.288854e+01,1.414893e+00,8.860177e-01
-2.362500e+01,1.400887e+00,8.790143e-01
-2.436146e+01,1.386697e+00,8.719193e-01
-2.475000e+01,1.379295e+00,8.682187e-01
6.711146e+01,3.172248e-01,3.371834e-01
6.637500e+01,3.343318e-01,3.457369e-01
6.563854e+01,3.511048e-01,3.541234e-01
6.525000e+01,3.600017e-01,3.585719e-01
1.372500e+02,-2.514563e-01,5.284285e-02
1.368615e+02,-2.514713e-01,5.283537e-02
1.361250e+02,-2.514927e-01,5.282466e-02
1.353885e+02,-2.515064e-01,5.281780e-02
-4.275000e+01,9.442211e-01,6.506816e-01
-4.313854e+01,9.331208e-01,6.451314e-01
-4.387500e+01,9.139585e-01,6.355503e-01
-4.461146e+01,8.938673e-01,6.255047e-01
4.725000e+01,8.240066e-01,5.905743e-01
4.686146e+01,8.346587e-01,5.959004e-01
4.612500e+01,8.542049e-01,6.056734e-01
4.538854e+01,8.735115e-01,6.153268e-01
1.548615e+02,-2.534645e-01,5.183874e-02
1.541250e+02,-2.533937e-01,5.187416e-02
1.533885e+02,-2.533479e-01,5.189707e-02
1.530000e+02,-2.533326e-01,5.190471e-02
-1.151385e+02,-2.827233e-01,3.720937e-02
-1.158750e+02,-2.840923e-01,3.652484e-02
-1.166115e+02,-2.848761e-01,3.613297e-02
-2.513854e+01,1.371977e+00,8.645595e-01
-2.587500e+01,1.358985e+00,8.580636e-01
-2.661146e+01,1.346841e+00,8.519917e-01
-2.700000e+01,1.340804e+00,8.489729e-01
6.486146e+01,3.695830e-01,3.633625e-01
6.412500e+01,3.868382e-01,3.719901e-01
6.338854e+01,4.034250e-01,3.802835e-01
6.036146e+01,4.775828e-01,4.173624e-01
5.962500e+01,4.961608e-01,4.266514e-01
5.888854e+01,5.146587e-01,4.359004e-01
4.950000e+01,7.626290e-01,5.598855e-01
4.911146e+01,7.735711e-01,5.653566e-01
4.837500e+01,7.936370e-01,5.753895e-01
4.763854e+01,8.132932e-01,5.852176e-01
-4.050000e+01,1.004596e+00,6.808688e-01
-4.088854e+01,9.937762e-01,6.754591e-01
-4.162500e+01,9.746897e-01,6.659158e-01
-4.236146e+01,9.550318e-01,6.560869e-01
